ref_area,indicator,source,sex,classif1,classif2,time,obs_value,obs_status,note_classif,note_indicator,note_source
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2004,79.89,B,,I11:264,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2005,49.48,,,,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2005,51.48,,,,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2005,46.9,,,,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_UNION,2005,56.59,,,,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2005,22.8,,,,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2005,79.85,,,,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2006,50.1,,,,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2006,52.7,,,,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2006,47.82,,,,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_UNION,2006,56.11,,,,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2006,22.41,,,,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2006,76.48,,,,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2008,48.42,,,I13:3888,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2008,51.34,,,I13:3888,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2008,46.91,,,I13:3888,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_UNION,2008,53.05,,,I13:3888,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2008,18.92,,,I13:3888,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2008,74.61,,,I13:3888,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_X,2008,,U,,I13:3888,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2009,49.13,,,I13:3888,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SGLE,2009,50.93,,,I13:3888,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_MRD,2009,48.25,,,I13:3888,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_UNION,2009,54.73,,,I13:3888,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_WID,2009,19.64,,,I13:3888,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_SEP,2009,73.5,,,I13:3888,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_X,2009,,U,,I13:3888,R1:3513_S4:33
ARG,EAP_DWAP_SEX_AGE_MTS_RT,BA:150,SEX_F,AGE_10YRBANDS_TOTAL,MTS_DETAILS_TOTAL,2010,48.05,,,I13:3888,R1:3513_S4:33
